person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,actual_default,pred_default_prob,pred_default_thr_05,pred_default_thr_opt,approval_decision_thr_05,approval_decision_thr_opt,expected_loss_thr_05,expected_loss_thr_opt,interest_income,realized_net_loss_if_approved,realized_net_loss_thr_05,realized_net_loss_thr_opt
46,86807,MORTGAGE,0.0,VENTURE,A,10000,8.94,0.12,N,15,0,0.05133580408778124,0,0,Approve,Approve,741246.5575000001,-334.7477502677111,894.0,-894.0,-894.0,-894.0
23,40000,MORTGAGE,7.0,VENTURE,B,13000,9.99,0.33,N,3,0,0.46621603871483286,0,1,Approve,Reject,741246.5575000001,5367.583272771781,1298.7,-1298.7,-1298.7,0.0
26,15000,RENT,1.0,EDUCATION,D,2800,15.31,0.19,Y,4,1,0.9334937644961626,1,1,Reject,Reject,741246.5575000001,2585.2726475534705,428.68,2800.0,0.0,0.0
26,76668,RENT,10.0,DEBTCONSOLIDATION,A,7200,9.63,0.09,N,4,0,0.23738722644897203,0,0,Approve,Approve,741246.5575000001,1180.422837763258,693.36,-693.36,-693.36,-693.36
42,47000,RENT,2.0,MEDICAL,B,25000,12.18,0.53,N,15,1,0.9451540170404488,1,1,Reject,Reject,741246.5575000001,23461.844407899385,3045.0,25000.0,0.0,0.0
37,12360,RENT,3.0,VENTURE,B,4000,9.99,0.32,N,13,1,0.7788893438019968,1,1,Reject,Reject,741246.5575000001,3027.201556991265,399.6,4000.0,0.0,0.0
22,41820,MORTGAGE,4.0,PERSONAL,A,2500,6.91,0.06,N,3,0,0.08421404586524087,0,0,Approve,Approve,741246.5575000001,52.333091086322526,172.75,-172.75,-172.75,-172.75
26,64000,RENT,2.0,MEDICAL,A,3000,,0.05,N,4,0,0.21164025758866456,0,0,Approve,Approve,741246.5575000001,374.99856569297634,,,,
31,50000,RENT,9.0,DEBTCONSOLIDATION,A,12000,6.03,0.24,N,6,0,0.4950006587746485,0,1,Approve,Reject,741246.5575000001,5574.590381985117,723.6,-723.6,-723.6,0.0
21,33000,OWN,,PERSONAL,A,2500,6.03,0.08,N,4,0,0.021497890748232988,0,0,Approve,Approve,741246.5575000001,-93.76446609912142,150.75,-150.75,-150.75,-150.75
22,80000,MORTGAGE,4.0,PERSONAL,A,7250,,0.09,N,3,0,0.10039719203971068,0,0,Approve,Approve,741246.5575000001,11.098614975342798,,,,
25,150000,MORTGAGE,3.0,MEDICAL,A,12000,,0.08,N,2,0,0.07873889331146774,0,0,Approve,Approve,741246.5575000001,-270.0924277632233,,,,
29,119604,MORTGAGE,0.0,DEBTCONSOLIDATION,A,5000,9.32,0.04,N,5,0,0.094349340398834,0,0,Approve,Approve,741246.5575000001,49.713494620026665,466.0,-466.0,-466.0,-466.0
37,160000,MORTGAGE,3.0,PERSONAL,A,24000,6.54,0.15,N,15,0,0.028963487959100132,0,0,Approve,Approve,741246.5575000001,-829.0151982809934,1569.6,-1569.6,-1569.6,-1569.6
27,35000,RENT,11.0,VENTURE,A,10000,8.49,0.29,N,6,0,0.48846461422095017,0,1,Approve,Reject,741246.5575000001,4450.352599683089,849.0,-849.0,-849.0,0.0
29,64744,RENT,13.0,EDUCATION,B,4800,,0.07,N,6,0,0.1760692837873325,0,0,Approve,Approve,741246.5575000001,410.4926307626897,,,,
29,130000,MORTGAGE,13.0,DEBTCONSOLIDATION,C,6000,13.04,0.05,Y,9,0,0.19431578442893627,0,0,Approve,Approve,741246.5575000001,535.5273763108174,782.4,-782.4,-782.4,-782.4
29,38000,RENT,5.0,EDUCATION,A,1000,7.88,0.03,N,9,0,0.10234381980527746,0,0,Approve,Approve,741246.5575000001,31.60851280593333,78.8,-78.8,-78.8,-78.8
28,10000,RENT,12.0,EDUCATION,B,3000,,0.3,N,8,1,0.8325080219027279,1,1,Reject,Reject,741246.5575000001,2442.301960529513,,3000.0,0.0,0.0
38,59000,RENT,5.0,VENTURE,C,14000,13.8,0.24,N,14,1,0.4391057870862046,0,1,Approve,Reject,741246.5575000001,5063.833399857412,1932.0,14000.0,14000.0,0.0
24,72000,MORTGAGE,8.0,PERSONAL,A,5000,6.03,0.07,N,4,0,0.07214655474769556,0,0,Approve,Approve,741246.5575000001,80.98495999490802,301.5,-301.5,-301.5,-301.5
22,31500,RENT,1.0,VENTURE,D,6800,14.11,0.22,N,2,1,0.9031381290385642,1,1,Reject,Reject,741246.5575000001,6048.402249512158,959.48,6800.0,0.0,0.0
21,20000,RENT,0.0,MEDICAL,A,2000,,0.1,N,3,0,0.3585148916772629,0,0,Approve,Approve,741246.5575000001,576.0313565451883,,,,
28,35000,RENT,4.0,EDUCATION,B,13250,10.65,0.38,N,7,1,0.8171331358559621,1,1,Reject,Reject,741246.5575000001,10568.966046426243,1411.125,13250.0,0.0,0.0
29,34500,OWN,7.0,VENTURE,A,20000,7.29,0.58,N,10,0,0.57155169454498,1,1,Reject,Reject,741246.5575000001,10806.356261546181,1458.0,-1458.0,0.0,0.0
28,33996,MORTGAGE,5.0,PERSONAL,A,12000,,0.35,N,8,1,0.6551101609531683,1,1,Reject,Reject,741246.5575000001,7406.481211703058,,12000.0,0.0,0.0
30,100000,MORTGAGE,14.0,MEDICAL,B,15000,11.14,0.15,N,9,0,0.16737857717730567,0,0,Approve,Approve,741246.5575000001,1119.3682601228627,1671.0,-1671.0,-1671.0,-1671.0
24,52000,MORTGAGE,8.0,EDUCATION,A,3000,7.66,0.06,N,4,0,0.0687510575829724,0,0,Approve,Approve,741246.5575000001,-7.747834218515749,229.8,-229.8,-229.8,-229.8
46,70000,RENT,0.0,MEDICAL,A,10000,8.59,0.14,N,14,0,0.2465407302052897,0,1,Approve,Reject,741246.5575000001,1818.1857892992407,859.0,-859.0,-859.0,0.0
24,55000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,10000,5.79,0.18,N,2,0,0.2522811898646575,0,1,Approve,Reject,741246.5575000001,2089.8827075782115,579.0,-579.0,-579.0,0.0
26,18000,RENT,2.0,EDUCATION,D,2000,13.3,0.11,N,2,1,0.8334504483694656,1,0,Reject,Approve,741246.5575000001,1622.5987160052089,266.0,2000.0,0.0,2000.0
34,51621,MORTGAGE,5.0,PERSONAL,B,3500,11.49,0.07,N,6,0,0.14004977549331565,0,0,Approve,Approve,741246.5575000001,144.34523144124165,402.15,-402.15,-402.15,-402.15
26,80000,RENT,6.0,EDUCATION,B,14000,,0.17,N,2,0,0.2230410726271485,0,1,Approve,Reject,741246.5575000001,1927.1460111242102,,,,0.0
38,65000,OWN,12.0,HOMEIMPROVEMENT,B,3600,8.88,0.06,N,15,0,0.041872804201399404,0,0,Approve,Approve,741246.5575000001,-155.5520068278588,319.68000000000006,-319.68000000000006,-319.68000000000006,-319.68000000000006
27,75852,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4000,9.32,0.05,N,9,0,0.1147279496019593,0,0,Approve,Approve,741246.5575000001,128.88237801944757,372.8,-372.8,-372.8,-372.8
23,65000,RENT,2.0,DEBTCONSOLIDATION,B,3600,11.49,0.06,N,2,0,0.30208490723199416,0,0,Approve,Approve,741246.5575000001,798.8200670626211,413.64,-413.64,-413.64,-413.64
31,20000,RENT,0.0,MEDICAL,C,5000,13.8,0.25,N,5,0,0.8534147495574963,1,1,Reject,Reject,741246.5575000001,4165.929924982154,690.0,-690.0,0.0,0.0
26,95000,RENT,0.0,DEBTCONSOLIDATION,B,12000,10.65,0.13,N,4,0,0.29204685757540716,0,1,Approve,Reject,741246.5575000001,2599.7981748862567,1278.0,-1278.0,-1278.0,0.0
22,44000,RENT,1.0,EDUCATION,E,16000,16.35,0.36,N,3,1,0.9808618892139441,1,1,Reject,Reject,741246.5575000001,15643.724929606784,2616.0000000000005,16000.0,0.0,0.0
29,72000,RENT,0.0,MEDICAL,C,8000,13.57,0.11,Y,9,0,0.3973539440820384,0,1,Approve,Reject,741246.5575000001,2524.598994351768,1085.6,-1085.6,-1085.6,0.0
22,34819,RENT,2.0,PERSONAL,B,16800,10.99,0.48,N,4,1,0.9360942940937178,1,1,Reject,Reject,741246.5575000001,15608.393757845572,1846.32,16800.0,0.0,0.0
22,41604,OWN,1.0,PERSONAL,B,14400,,0.35,N,4,0,0.2684209179951256,0,1,Approve,Reject,741246.5575000001,2707.493427112174,,,,0.0
22,94342,MORTGAGE,,EDUCATION,B,2400,10.59,0.03,N,4,0,0.07783037651392272,0,0,Approve,Approve,741246.5575000001,-47.58572787180688,254.16,-254.16,-254.16,-254.16
23,35000,RENT,3.0,MEDICAL,B,5000,,0.14,N,2,0,0.4689713661559788,0,1,Approve,Reject,741246.5575000001,2053.0565964826046,,,,0.0
36,54996,RENT,4.0,MEDICAL,C,10000,13.47,0.18,N,13,0,0.5805135693823803,1,1,Reject,Reject,741246.5575000001,5240.08747178187,1347.0,-1347.0,0.0,0.0
29,62000,RENT,4.0,DEBTCONSOLIDATION,C,2300,13.43,0.04,Y,6,1,0.35770586098609125,0,0,Approve,Approve,741246.5575000001,624.3252436680036,308.89,2300.0,2300.0,2300.0
24,45000,RENT,5.0,MEDICAL,C,1300,13.61,0.03,Y,4,0,0.32804719818253025,0,0,Approve,Approve,741246.5575000001,307.57274841172443,176.93,-176.93,-176.93,-176.93
21,42000,RENT,5.0,MEDICAL,B,2500,9.99,0.06,N,2,0,0.27923737275752025,0,0,Approve,Approve,741246.5575000001,518.0829657399913,249.75,-249.75,-249.75,-249.75
21,15000,RENT,6.0,VENTURE,A,4800,8.49,0.32,N,3,1,0.7062981277911119,1,1,Reject,Reject,741246.5575000001,3270.541626434771,407.52,4800.0,0.0,0.0
21,36450,RENT,0.0,EDUCATION,A,6000,8.63,0.16,N,3,0,0.27439076690974784,0,0,Approve,Approve,741246.5575000001,1270.6241405643543,517.8000000000001,-517.8000000000001,-517.8000000000001,-517.8000000000001
30,65000,RENT,14.0,PERSONAL,C,11475,13.72,0.18,N,6,0,0.4769185697428316,0,1,Approve,Reject,741246.5575000001,4649.116876445014,1574.37,-1574.37,-1574.37,0.0
30,30000,RENT,14.0,MEDICAL,C,12800,14.79,0.43,Y,9,1,0.9662474361730795,1,1,Reject,Reject,741246.5575000001,12304.069529383398,1893.12,12800.0,0.0,0.0
22,58896,MORTGAGE,6.0,EDUCATION,A,9500,6.76,0.16,N,4,0,0.11231965953879672,0,0,Approve,Approve,741246.5575000001,496.96845097438415,642.2,-642.2,-642.2,-642.2
28,60000,MORTGAGE,6.0,EDUCATION,B,15000,11.99,0.25,N,5,0,0.291594310031861,0,1,Approve,Reject,741246.5575000001,3099.8470170702167,1798.5,-1798.5,-1798.5,0.0
25,210000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8000,9.91,0.04,N,4,0,0.11262051787200376,0,0,Approve,Approve,741246.5575000001,197.4496895449546,792.8,-792.8,-792.8,-792.8
30,36000,MORTGAGE,7.0,MEDICAL,B,15000,11.83,0.42,N,5,0,0.8674725827302843,1,1,Reject,Reject,741246.5575000001,12776.918839009155,1774.5,-1774.5,0.0,0.0
21,15360,RENT,0.0,DEBTCONSOLIDATION,B,1600,12.69,0.1,N,3,0,0.48710428920808485,0,0,Approve,Approve,741246.5575000001,675.2285176137452,203.04,-203.04,-203.04,-203.04
23,84000,MORTGAGE,0.0,PERSONAL,A,28000,8.49,0.33,N,4,0,0.18359841724276066,0,1,Approve,Reject,741246.5575000001,3200.005840266789,2377.2,-2377.2,-2377.2,0.0
21,37200,RENT,2.0,DEBTCONSOLIDATION,B,6000,11.71,0.16,N,4,0,0.5523432992319267,1,1,Reject,Reject,741246.5575000001,2999.536197431912,702.6,-702.6,0.0,0.0
22,53819,RENT,2.0,EDUCATION,A,6000,7.42,0.11,N,3,0,0.1556955836909486,0,0,Approve,Approve,741246.5575000001,558.289176004902,445.2,-445.2,-445.2,-445.2
28,42000,OWN,4.0,PERSONAL,C,8000,15.96,0.19,N,7,0,0.14901427510440485,0,0,Approve,Approve,741246.5575000001,105.57562728854259,1276.8,-1276.8,-1276.8,-1276.8
25,99600,MORTGAGE,1.0,HOMEIMPROVEMENT,B,12800,12.42,0.13,N,4,0,0.20866886114136785,0,0,Approve,Approve,741246.5575000001,1412.9348312976092,1589.76,-1589.76,-1589.76,-1589.76
28,33000,OWN,1.0,PERSONAL,D,7500,15.31,0.23,N,10,0,0.6707739476173739,1,1,Reject,Reject,741246.5575000001,4652.770792481953,1148.25,-1148.25,0.0,0.0
23,56000,RENT,7.0,VENTURE,C,4000,15.23,0.07,Y,4,0,0.21420109517573116,0,0,Approve,Approve,741246.5575000001,378.0956878839801,609.2,-609.2,-609.2,-609.2
28,300000,MORTGAGE,12.0,EDUCATION,C,10125,15.23,0.03,N,6,0,0.07406666035283567,0,0,Approve,Approve,741246.5575000001,-677.898996163703,1542.0375,-1542.0375,-1542.0375,-1542.0375
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0.1,N,3,0,0.06721897662298848,0,0,Approve,Approve,741246.5575000001,-705.8731569229017,,,,
23,60000,MORTGAGE,6.0,VENTURE,A,10000,5.42,0.17,N,4,0,0.07933923231766633,0,0,Approve,Approve,741246.5575000001,294.39418709283854,542.0,-542.0,-542.0,-542.0
22,90000,MORTGAGE,6.0,MEDICAL,B,9500,,0.11,N,3,0,0.17170386801381576,0,0,Approve,Approve,741246.5575000001,766.4041695310741,,,,
27,56888,RENT,8.0,HOMEIMPROVEMENT,D,8000,16.29,0.14,N,5,0,0.9215016666858682,1,1,Reject,Reject,741246.5575000001,7269.714305511969,1303.2,-1303.2,0.0,0.0
43,90000,RENT,9.0,MEDICAL,C,18000,13.11,0.2,N,12,0,0.43290597956954796,0,1,Approve,Reject,741246.5575000001,6454.079162840083,2359.8,-2359.8,-2359.8,0.0
22,46000,RENT,6.0,EDUCATION,A,14000,8.49,0.3,N,4,0,0.5032093462594841,1,1,Reject,Reject,741246.5575000001,6454.4454765968,1188.6,-1188.6,0.0,0.0
27,125000,RENT,8.0,EDUCATION,D,7500,,0.06,N,5,0,0.5739793352704315,1,1,Reject,Reject,741246.5575000001,3953.69748162489,,,0.0,0.0
39,45000,MORTGAGE,4.0,VENTURE,A,8625,,0.19,N,13,0,0.15409645194578547,0,0,Approve,Approve,741246.5575000001,527.2604986261605,,,,
28,22188,RENT,9.0,EDUCATION,A,11500,8.49,0.52,N,5,1,0.9578726288468147,1,1,Reject,Reject,741246.5575000001,10974.404172912957,976.35,11500.0,0.0,0.0
25,24000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,13.49,0.25,Y,3,0,0.7484432273343662,1,1,Reject,Reject,741246.5575000001,4287.049312210634,809.4,-809.4,0.0,0.0
35,153660,MORTGAGE,3.0,HOMEIMPROVEMENT,A,24000,7.9,0.16,N,10,0,0.06386062959279205,0,0,Approve,Approve,741246.5575000001,-242.26513606505682,1896.0,-1896.0,-1896.0,-1896.0
22,44307,RENT,6.0,HOMEIMPROVEMENT,B,10000,11.36,0.23,N,2,1,0.6935127022251754,1,1,Reject,Reject,741246.5575000001,6586.957451979552,1136.0,10000.0,0.0,0.0
29,100000,RENT,1.0,MEDICAL,B,15000,9.88,0.15,N,9,0,0.2447040087179866,0,1,Approve,Reject,741246.5575000001,2551.211471689855,1482.0,-1482.0,-1482.0,0.0
27,80000,MORTGAGE,11.0,VENTURE,A,5000,8.0,0.06,N,10,0,0.04175497063030608,0,0,Approve,Approve,741246.5575000001,-174.52315859634712,400.0,-400.0,-400.0,-400.0
22,26124,RENT,2.0,EDUCATION,A,7125,5.79,0.27,N,2,0,0.5336662121288822,1,1,Reject,Reject,741246.5575000001,3609.991586404404,412.5375,-412.5375,0.0,0.0
39,45000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,12000,14.72,0.27,N,15,0,0.7010122291641445,1,1,Reject,Reject,741246.5575000001,7884.014751565279,1766.4,-1766.4,0.0,0.0
24,60000,MORTGAGE,7.0,VENTURE,B,15850,11.11,0.26,N,3,0,0.22085323973228285,0,1,Approve,Reject,741246.5575000001,2128.4970494646514,1760.935,-1760.935,-1760.935,0.0
25,137400,RENT,4.0,EDUCATION,C,3000,13.06,0.02,N,2,1,0.17547991455485143,0,0,Approve,Approve,741246.5575000001,203.3927741871451,391.8,3000.0,3000.0,3000.0
23,42000,RENT,4.0,PERSONAL,A,10000,5.42,0.24,N,3,0,0.41786879408633093,0,1,Approve,Reject,741246.5575000001,3863.172827258101,542.0,-542.0,-542.0,0.0
27,49000,RENT,11.0,DEBTCONSOLIDATION,B,25000,11.36,0.51,N,5,1,0.9390512435337656,1,1,Reject,Reject,741246.5575000001,23303.18661998003,2840.0,25000.0,0.0,0.0
27,24000,RENT,0.0,DEBTCONSOLIDATION,C,4000,12.87,0.17,N,10,0,0.7121960343739471,1,1,Reject,Reject,741246.5575000001,2700.6226559914962,514.8,-514.8,0.0,0.0
30,47600,MORTGAGE,6.0,EDUCATION,B,23800,12.42,0.5,N,9,0,0.8081830269740914,1,1,Reject,Reject,741246.5575000001,18667.75274239771,2955.96,-2955.96,0.0,0.0
23,87200,MORTGAGE,0.0,VENTURE,A,10000,6.92,0.11,N,3,0,0.04156870047930919,0,0,Approve,Approve,741246.5575000001,-247.54745447522612,692.0,-692.0,-692.0,-692.0
36,156326,RENT,10.0,HOMEIMPROVEMENT,A,1800,8.0,0.01,N,16,0,0.16963895927820996,0,0,Approve,Approve,741246.5575000001,185.7781368368402,144.0,-144.0,-144.0,-144.0
23,60000,RENT,1.0,DEBTCONSOLIDATION,A,6000,,0.1,N,2,0,0.2975575915619829,0,0,Approve,Approve,741246.5575000001,1322.1550252478692,,,,
25,56000,RENT,2.0,DEBTCONSOLIDATION,B,5000,,0.09,N,4,0,0.3447185402592413,0,0,Approve,Approve,741246.5575000001,1363.5155391686596,,,,
27,66000,RENT,11.0,DEBTCONSOLIDATION,D,6000,,0.09,N,8,1,0.8237617085433216,1,1,Reject,Reject,741246.5575000001,4826.3587218733965,,6000.0,0.0,0.0
34,41979,MORTGAGE,14.0,EDUCATION,C,8150,15.23,0.19,N,10,0,0.404002597529874,0,1,Approve,Reject,741246.5575000001,2552.8423740394414,1241.245,-1241.245,-1241.245,0.0
26,68000,MORTGAGE,11.0,MEDICAL,D,25000,15.65,0.31,N,2,1,0.8747416372397544,1,1,Reject,Reject,741246.5575000001,21378.467586694398,3912.5,25000.0,0.0,0.0
24,60000,RENT,4.0,EDUCATION,B,12000,9.99,0.2,N,4,0,0.324983691811598,0,1,Approve,Reject,741246.5575000001,3090.5947514829195,1198.8,-1198.8,-1198.8,0.0
34,187000,RENT,3.0,VENTURE,A,12000,7.9,0.06,N,10,0,0.037106060128324014,0,0,Approve,Approve,741246.5575000001,-467.55073345846074,948.0,-948.0,-948.0,-948.0
22,33000,RENT,5.0,DEBTCONSOLIDATION,A,4000,7.88,0.12,N,4,0,0.35455170086909826,0,0,Approve,Approve,741246.5575000001,1214.761499590333,315.2,-315.2,-315.2,-315.2
25,70000,RENT,5.0,HOMEIMPROVEMENT,A,6800,5.42,0.1,N,2,0,0.2331908060353496,0,0,Approve,Approve,741246.5575000001,1303.082284512766,368.56,-368.56,-368.56,-368.56
27,20000,RENT,1.0,PERSONAL,A,7025,5.42,0.35,N,9,1,0.7991154370356724,1,1,Reject,Reject,741246.5575000001,5537.298143404117,380.755,7025.0,0.0,0.0
29,59000,RENT,4.0,VENTURE,G,20000,20.17,0.34,Y,5,1,0.9987348141618551,1,1,Reject,Reject,741246.5575000001,19969.592523566025,4034.0000000000005,20000.0,0.0,0.0
28,91800,MORTGAGE,6.0,MEDICAL,D,10000,16.89,0.09,Y,8,1,0.6696487147936907,1,1,Reject,Reject,741246.5575000001,6138.52382722345,1689.0,10000.0,0.0,0.0
22,29000,RENT,5.0,VENTURE,B,6000,10.25,0.21,N,2,0,0.42235633683720486,0,1,Approve,Reject,741246.5575000001,2178.88716817811,615.0,-615.0,-615.0,0.0
35,39000,RENT,8.0,DEBTCONSOLIDATION,A,4500,6.62,0.12,N,6,0,0.3196160647266802,0,0,Approve,Approve,741246.5575000001,1235.5859169521389,297.9,-297.9,-297.9,-297.9
25,84000,RENT,3.0,DEBTCONSOLIDATION,C,10000,,0.12,Y,4,0,0.3713395653041552,0,1,Approve,Reject,741246.5575000001,3022.497835310818,,,,0.0
24,138000,RENT,2.0,VENTURE,D,20000,15.99,0.14,Y,3,1,0.4794401941334115,0,1,Approve,Reject,741246.5575000001,7924.053623506879,3198.0,20000.0,20000.0,0.0
25,22880,RENT,2.0,VENTURE,C,7000,,0.31,N,3,1,0.7695013810706831,1,1,Reject,Reject,741246.5575000001,5209.187079952459,,7000.0,0.0,0.0
22,40428,RENT,4.0,MEDICAL,B,16500,10.75,0.41,N,2,1,0.8952774232845307,1,1,Reject,Reject,741246.5575000001,14586.325813745692,1773.75,16500.0,0.0,0.0
36,14004,RENT,0.0,MEDICAL,D,4800,15.28,0.34,N,15,1,0.9932494042320437,1,1,Reject,Reject,741246.5575000001,4762.645983353759,733.44,4800.0,0.0,0.0
26,25200,RENT,2.0,MEDICAL,C,1500,13.49,0.06,Y,2,0,0.4039158010738905,0,0,Approve,Approve,741246.5575000001,485.2560639581376,202.35,-202.35,-202.35,-202.35
24,16000,RENT,0.0,VENTURE,B,3250,12.42,0.2,N,4,1,0.492374625451216,0,0,Approve,Approve,741246.5575000001,1395.3145502798354,403.65,3250.0,3250.0,3250.0
28,85000,RENT,7.0,DEBTCONSOLIDATION,B,11200,9.91,0.13,N,10,0,0.30437170724574514,0,1,Approve,Reject,741246.5575000001,2636.871366458543,1109.92,-1109.92,-1109.92,0.0
30,80000,MORTGAGE,7.0,VENTURE,B,16800,10.99,0.21,N,8,0,0.11696856084822081,0,0,Approve,Approve,741246.5575000001,334.71321551539654,1846.32,-1846.32,-1846.32,-1846.32
29,72500,RENT,1.0,PERSONAL,A,7000,7.29,0.1,N,5,0,0.15354286637666723,0,0,Approve,Approve,741246.5575000001,642.8529893486839,510.3,-510.3,-510.3,-510.3
26,113000,MORTGAGE,10.0,PERSONAL,A,12000,7.29,0.11,N,2,1,0.06499069929510046,0,0,Approve,Approve,741246.5575000001,-38.05774471544066,874.8,12000.0,12000.0,12000.0
33,115000,MORTGAGE,10.0,PERSONAL,B,25000,11.86,0.22,N,10,0,0.11154749137673807,0,0,Approve,Approve,741246.5575000001,154.4255963504802,2965.0,-2965.0,-2965.0,-2965.0
