person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,case_id,actual_default,default_prob,decision_score,profit_threshold,model_decision,default_05_decision,explanation_seed
32,79872,MORTGAGE,4.0,DEBTCONSOLIDATION,C,12000,12.68,0.15,N,10,case_0010,0,0.30762416159403094,2637.970863409849,1670.0,reject,approve,"Applicant case_0010 was reject by the profit-based decision layer. The predicted default probability is 0.308. The decision score is 2637.97, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
25,24996,RENT,3.0,DEBTCONSOLIDATION,C,7500,12.98,0.3,N,2,case_0011,0,0.9041853723813169,6688.114752873089,1670.0,reject,reject,"Applicant case_0011 was reject by the profit-based decision layer. The predicted default probability is 0.904. The decision score is 6688.11, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
34,62000,MORTGAGE,18.0,HOMEIMPROVEMENT,B,28000,11.71,0.45,N,10,case_0012,0,0.7664010589220257,20693.30544181026,1670.0,reject,reject,"Applicant case_0012 was reject by the profit-based decision layer. The predicted default probability is 0.766. The decision score is 20693.31, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
24,13000,RENT,1.0,MEDICAL,B,1200,11.89,0.09,N,2,case_0013,0,0.4186931367508866,419.4909008526804,1670.0,approve,approve,"Applicant case_0013 was approve by the profit-based decision layer. The predicted default probability is 0.419. The decision score is 419.49, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
22,69600,RENT,6.0,PERSONAL,A,12000,7.29,0.17,N,4,case_0014,0,0.2153239067640061,1897.4522348052255,1670.0,reject,approve,"Applicant case_0014 was reject by the profit-based decision layer. The predicted default probability is 0.215. The decision score is 1897.45, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
27,71020,RENT,1.0,MEDICAL,C,10000,12.53,0.14,N,6,case_0015,0,0.43844328635522184,3680.802301355312,1670.0,reject,approve,"Applicant case_0015 was reject by the profit-based decision layer. The predicted default probability is 0.438. The decision score is 3680.80, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
26,70000,MORTGAGE,10.0,EDUCATION,B,5000,9.88,0.07,N,4,case_0016,0,0.09312505095400868,17.62902994132361,1670.0,approve,approve,"Applicant case_0016 was approve by the profit-based decision layer. The predicted default probability is 0.093. The decision score is 17.63, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
35,110000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,10000,8.59,0.09,N,6,case_0017,0,0.111592695645337,352.7850820127144,1670.0,approve,approve,"Applicant case_0017 was approve by the profit-based decision layer. The predicted default probability is 0.112. The decision score is 352.79, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
23,132000,MORTGAGE,7.0,PERSONAL,C,9000,11.34,0.07,Y,3,case_0018,0,0.10990914884346106,80.75561690078598,1670.0,approve,approve,"Applicant case_0018 was approve by the profit-based decision layer. The predicted default probability is 0.110. The decision score is 80.76, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
38,200000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,3000,7.68,0.01,N,12,case_0019,0,0.07399589053543269,8.636324785661799,1670.0,approve,approve,"Applicant case_0019 was approve by the profit-based decision layer. The predicted default probability is 0.074. The decision score is 8.64, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
22,120000,MORTGAGE,3.0,MEDICAL,A,22000,7.49,0.18,N,3,case_0020,0,0.07665569575544122,164.93856208552256,1670.0,approve,approve,"Applicant case_0020 was approve by the profit-based decision layer. The predicted default probability is 0.077. The decision score is 164.94, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
30,340000,MORTGAGE,2.0,HOMEIMPROVEMENT,F,25000,18.3,0.07,N,8,case_0021,0,0.48677472973132446,9821.362631803922,1670.0,reject,approve,"Applicant case_0021 was reject by the profit-based decision layer. The predicted default probability is 0.487. The decision score is 9821.36, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
24,88494,OWN,8.0,MEDICAL,B,24000,,0.27,N,2,case_0022,0,0.06478116647479658,-911.9851999109587,1670.0,approve,approve,"Applicant case_0022 was approve by the profit-based decision layer. The predicted default probability is 0.065. The decision score is -911.99, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
33,55000,RENT,1.0,EDUCATION,C,10725,13.16,0.2,N,6,case_0023,0,0.4727963074395851,4326.6398335728545,1670.0,reject,approve,"Applicant case_0023 was reject by the profit-based decision layer. The predicted default probability is 0.473. The decision score is 4326.64, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
46,86807,MORTGAGE,0.0,VENTURE,A,10000,8.94,0.12,N,15,case_0024,0,0.05133580408778124,-334.7477502677111,1670.0,approve,approve,"Applicant case_0024 was approve by the profit-based decision layer. The predicted default probability is 0.051. The decision score is -334.75, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
23,40000,MORTGAGE,7.0,VENTURE,B,13000,9.99,0.33,N,3,case_0025,0,0.46621603871483286,5367.583272771781,1670.0,reject,approve,"Applicant case_0025 was reject by the profit-based decision layer. The predicted default probability is 0.466. The decision score is 5367.58, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
26,15000,RENT,1.0,EDUCATION,D,2800,15.31,0.19,Y,4,case_0026,1,0.9334937644961626,2585.2726475534705,1670.0,reject,reject,"Applicant case_0026 was reject by the profit-based decision layer. The predicted default probability is 0.933. The decision score is 2585.27, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
26,76668,RENT,10.0,DEBTCONSOLIDATION,A,7200,9.63,0.09,N,4,case_0027,0,0.23738722644897203,1180.422837763258,1670.0,approve,approve,"Applicant case_0027 was approve by the profit-based decision layer. The predicted default probability is 0.237. The decision score is 1180.42, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
42,47000,RENT,2.0,MEDICAL,B,25000,12.18,0.53,N,15,case_0028,1,0.9451540170404488,23461.844407899385,1670.0,reject,reject,"Applicant case_0028 was reject by the profit-based decision layer. The predicted default probability is 0.945. The decision score is 23461.84, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
37,12360,RENT,3.0,VENTURE,B,4000,9.99,0.32,N,13,case_0029,1,0.7788893438019968,3027.201556991265,1670.0,reject,reject,"Applicant case_0029 was reject by the profit-based decision layer. The predicted default probability is 0.779. The decision score is 3027.20, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
22,41820,MORTGAGE,4.0,PERSONAL,A,2500,6.91,0.06,N,3,case_0030,0,0.08421404586524087,52.333091086322526,1670.0,approve,approve,"Applicant case_0030 was approve by the profit-based decision layer. The predicted default probability is 0.084. The decision score is 52.33, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
26,64000,RENT,2.0,MEDICAL,A,3000,,0.05,N,4,case_0031,0,0.21164025758866456,374.99856569297634,1670.0,approve,approve,"Applicant case_0031 was approve by the profit-based decision layer. The predicted default probability is 0.212. The decision score is 375.00, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
31,50000,RENT,9.0,DEBTCONSOLIDATION,A,12000,6.03,0.24,N,6,case_0032,0,0.4950006587746485,5574.590381985117,1670.0,reject,approve,"Applicant case_0032 was reject by the profit-based decision layer. The predicted default probability is 0.495. The decision score is 5574.59, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
21,33000,OWN,,PERSONAL,A,2500,6.03,0.08,N,4,case_0033,0,0.021497890748232988,-93.76446609912142,1670.0,approve,approve,"Applicant case_0033 was approve by the profit-based decision layer. The predicted default probability is 0.021. The decision score is -93.76, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
22,80000,MORTGAGE,4.0,PERSONAL,A,7250,,0.09,N,3,case_0034,0,0.10039719203971068,11.098614975342798,1670.0,approve,approve,"Applicant case_0034 was approve by the profit-based decision layer. The predicted default probability is 0.100. The decision score is 11.10, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
25,150000,MORTGAGE,3.0,MEDICAL,A,12000,,0.08,N,2,case_0035,0,0.07873889331146774,-270.0924277632233,1670.0,approve,approve,"Applicant case_0035 was approve by the profit-based decision layer. The predicted default probability is 0.079. The decision score is -270.09, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
29,119604,MORTGAGE,0.0,DEBTCONSOLIDATION,A,5000,9.32,0.04,N,5,case_0036,0,0.094349340398834,49.713494620026665,1670.0,approve,approve,"Applicant case_0036 was approve by the profit-based decision layer. The predicted default probability is 0.094. The decision score is 49.71, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
37,160000,MORTGAGE,3.0,PERSONAL,A,24000,6.54,0.15,N,15,case_0037,0,0.028963487959100132,-829.0151982809934,1670.0,approve,approve,"Applicant case_0037 was approve by the profit-based decision layer. The predicted default probability is 0.029. The decision score is -829.02, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
27,35000,RENT,11.0,VENTURE,A,10000,8.49,0.29,N,6,case_0038,0,0.48846461422095017,4450.352599683089,1670.0,reject,approve,"Applicant case_0038 was reject by the profit-based decision layer. The predicted default probability is 0.488. The decision score is 4450.35, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
29,64744,RENT,13.0,EDUCATION,B,4800,,0.07,N,6,case_0039,0,0.1760692837873325,410.4926307626897,1670.0,approve,approve,"Applicant case_0039 was approve by the profit-based decision layer. The predicted default probability is 0.176. The decision score is 410.49, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
29,130000,MORTGAGE,13.0,DEBTCONSOLIDATION,C,6000,13.04,0.05,Y,9,case_0040,0,0.19431578442893627,535.5273763108174,1670.0,approve,approve,"Applicant case_0040 was approve by the profit-based decision layer. The predicted default probability is 0.194. The decision score is 535.53, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
29,38000,RENT,5.0,EDUCATION,A,1000,7.88,0.03,N,9,case_0041,0,0.10234381980527746,31.60851280593333,1670.0,approve,approve,"Applicant case_0041 was approve by the profit-based decision layer. The predicted default probability is 0.102. The decision score is 31.61, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
28,10000,RENT,12.0,EDUCATION,B,3000,,0.3,N,8,case_0042,1,0.8325080219027279,2442.301960529513,1670.0,reject,reject,"Applicant case_0042 was reject by the profit-based decision layer. The predicted default probability is 0.833. The decision score is 2442.30, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
38,59000,RENT,5.0,VENTURE,C,14000,13.8,0.24,N,14,case_0043,1,0.4391057870862046,5063.833399857412,1670.0,reject,approve,"Applicant case_0043 was reject by the profit-based decision layer. The predicted default probability is 0.439. The decision score is 5063.83, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
24,72000,MORTGAGE,8.0,PERSONAL,A,5000,6.03,0.07,N,4,case_0044,0,0.07214655474769556,80.98495999490802,1670.0,approve,approve,"Applicant case_0044 was approve by the profit-based decision layer. The predicted default probability is 0.072. The decision score is 80.98, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
22,31500,RENT,1.0,VENTURE,D,6800,14.11,0.22,N,2,case_0045,1,0.9031381290385642,6048.402249512158,1670.0,reject,reject,"Applicant case_0045 was reject by the profit-based decision layer. The predicted default probability is 0.903. The decision score is 6048.40, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
21,20000,RENT,0.0,MEDICAL,A,2000,,0.1,N,3,case_0046,0,0.3585148916772629,576.0313565451883,1670.0,approve,approve,"Applicant case_0046 was approve by the profit-based decision layer. The predicted default probability is 0.359. The decision score is 576.03, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
28,35000,RENT,4.0,EDUCATION,B,13250,10.65,0.38,N,7,case_0047,1,0.8171331358559621,10568.966046426243,1670.0,reject,reject,"Applicant case_0047 was reject by the profit-based decision layer. The predicted default probability is 0.817. The decision score is 10568.97, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
29,34500,OWN,7.0,VENTURE,A,20000,7.29,0.58,N,10,case_0048,0,0.57155169454498,10806.356261546181,1670.0,reject,reject,"Applicant case_0048 was reject by the profit-based decision layer. The predicted default probability is 0.572. The decision score is 10806.36, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
28,33996,MORTGAGE,5.0,PERSONAL,A,12000,,0.35,N,8,case_0049,1,0.6551101609531683,7406.481211703058,1670.0,reject,reject,"Applicant case_0049 was reject by the profit-based decision layer. The predicted default probability is 0.655. The decision score is 7406.48, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
30,100000,MORTGAGE,14.0,MEDICAL,B,15000,11.14,0.15,N,9,case_0050,0,0.16737857717730567,1119.3682601228627,1670.0,approve,approve,"Applicant case_0050 was approve by the profit-based decision layer. The predicted default probability is 0.167. The decision score is 1119.37, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
24,52000,MORTGAGE,8.0,EDUCATION,A,3000,7.66,0.06,N,4,case_0051,0,0.0687510575829724,-7.747834218515749,1670.0,approve,approve,"Applicant case_0051 was approve by the profit-based decision layer. The predicted default probability is 0.069. The decision score is -7.75, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
46,70000,RENT,0.0,MEDICAL,A,10000,8.59,0.14,N,14,case_0052,0,0.2465407302052897,1818.1857892992407,1670.0,reject,approve,"Applicant case_0052 was reject by the profit-based decision layer. The predicted default probability is 0.247. The decision score is 1818.19, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
24,55000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,10000,5.79,0.18,N,2,case_0053,0,0.2522811898646575,2089.8827075782115,1670.0,reject,approve,"Applicant case_0053 was reject by the profit-based decision layer. The predicted default probability is 0.252. The decision score is 2089.88, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
26,18000,RENT,2.0,EDUCATION,D,2000,13.3,0.11,N,2,case_0054,1,0.8334504483694656,1622.5987160052089,1670.0,approve,reject,"Applicant case_0054 was approve by the profit-based decision layer. The predicted default probability is 0.833. The decision score is 1622.60, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
34,51621,MORTGAGE,5.0,PERSONAL,B,3500,11.49,0.07,N,6,case_0055,0,0.14004977549331565,144.34523144124165,1670.0,approve,approve,"Applicant case_0055 was approve by the profit-based decision layer. The predicted default probability is 0.140. The decision score is 144.35, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
26,80000,RENT,6.0,EDUCATION,B,14000,,0.17,N,2,case_0056,0,0.2230410726271485,1927.1460111242102,1670.0,reject,approve,"Applicant case_0056 was reject by the profit-based decision layer. The predicted default probability is 0.223. The decision score is 1927.15, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
38,65000,OWN,12.0,HOMEIMPROVEMENT,B,3600,8.88,0.06,N,15,case_0057,0,0.041872804201399404,-155.5520068278588,1670.0,approve,approve,"Applicant case_0057 was approve by the profit-based decision layer. The predicted default probability is 0.042. The decision score is -155.55, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
27,75852,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4000,9.32,0.05,N,9,case_0058,0,0.1147279496019593,128.88237801944757,1670.0,approve,approve,"Applicant case_0058 was approve by the profit-based decision layer. The predicted default probability is 0.115. The decision score is 128.88, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
23,65000,RENT,2.0,DEBTCONSOLIDATION,B,3600,11.49,0.06,N,2,case_0059,0,0.30208490723199416,798.8200670626211,1670.0,approve,approve,"Applicant case_0059 was approve by the profit-based decision layer. The predicted default probability is 0.302. The decision score is 798.82, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
31,20000,RENT,0.0,MEDICAL,C,5000,13.8,0.25,N,5,case_0060,0,0.8534147495574963,4165.929924982154,1670.0,reject,reject,"Applicant case_0060 was reject by the profit-based decision layer. The predicted default probability is 0.853. The decision score is 4165.93, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
26,95000,RENT,0.0,DEBTCONSOLIDATION,B,12000,10.65,0.13,N,4,case_0061,0,0.29204685757540716,2599.7981748862567,1670.0,reject,approve,"Applicant case_0061 was reject by the profit-based decision layer. The predicted default probability is 0.292. The decision score is 2599.80, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
22,44000,RENT,1.0,EDUCATION,E,16000,16.35,0.36,N,3,case_0062,1,0.9808618892139441,15643.724929606784,1670.0,reject,reject,"Applicant case_0062 was reject by the profit-based decision layer. The predicted default probability is 0.981. The decision score is 15643.72, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
29,72000,RENT,0.0,MEDICAL,C,8000,13.57,0.11,Y,9,case_0063,0,0.3973539440820384,2524.598994351768,1670.0,reject,approve,"Applicant case_0063 was reject by the profit-based decision layer. The predicted default probability is 0.397. The decision score is 2524.60, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
22,34819,RENT,2.0,PERSONAL,B,16800,10.99,0.48,N,4,case_0064,1,0.9360942940937178,15608.393757845572,1670.0,reject,reject,"Applicant case_0064 was reject by the profit-based decision layer. The predicted default probability is 0.936. The decision score is 15608.39, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
22,41604,OWN,1.0,PERSONAL,B,14400,,0.35,N,4,case_0065,0,0.2684209179951256,2707.493427112174,1670.0,reject,approve,"Applicant case_0065 was reject by the profit-based decision layer. The predicted default probability is 0.268. The decision score is 2707.49, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
22,94342,MORTGAGE,,EDUCATION,B,2400,10.59,0.03,N,4,case_0066,0,0.07783037651392272,-47.58572787180688,1670.0,approve,approve,"Applicant case_0066 was approve by the profit-based decision layer. The predicted default probability is 0.078. The decision score is -47.59, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
23,35000,RENT,3.0,MEDICAL,B,5000,,0.14,N,2,case_0067,0,0.4689713661559788,2053.0565964826046,1670.0,reject,approve,"Applicant case_0067 was reject by the profit-based decision layer. The predicted default probability is 0.469. The decision score is 2053.06, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
36,54996,RENT,4.0,MEDICAL,C,10000,13.47,0.18,N,13,case_0068,0,0.5805135693823803,5240.08747178187,1670.0,reject,reject,"Applicant case_0068 was reject by the profit-based decision layer. The predicted default probability is 0.581. The decision score is 5240.09, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
29,62000,RENT,4.0,DEBTCONSOLIDATION,C,2300,13.43,0.04,Y,6,case_0069,1,0.35770586098609125,624.3252436680036,1670.0,approve,approve,"Applicant case_0069 was approve by the profit-based decision layer. The predicted default probability is 0.358. The decision score is 624.33, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
24,45000,RENT,5.0,MEDICAL,C,1300,13.61,0.03,Y,4,case_0070,0,0.32804719818253025,307.57274841172443,1670.0,approve,approve,"Applicant case_0070 was approve by the profit-based decision layer. The predicted default probability is 0.328. The decision score is 307.57, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
21,42000,RENT,5.0,MEDICAL,B,2500,9.99,0.06,N,2,case_0071,0,0.27923737275752025,518.0829657399913,1670.0,approve,approve,"Applicant case_0071 was approve by the profit-based decision layer. The predicted default probability is 0.279. The decision score is 518.08, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
21,15000,RENT,6.0,VENTURE,A,4800,8.49,0.32,N,3,case_0072,1,0.7062981277911119,3270.541626434771,1670.0,reject,reject,"Applicant case_0072 was reject by the profit-based decision layer. The predicted default probability is 0.706. The decision score is 3270.54, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
21,36450,RENT,0.0,EDUCATION,A,6000,8.63,0.16,N,3,case_0073,0,0.27439076690974784,1270.6241405643543,1670.0,approve,approve,"Applicant case_0073 was approve by the profit-based decision layer. The predicted default probability is 0.274. The decision score is 1270.62, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
30,65000,RENT,14.0,PERSONAL,C,11475,13.72,0.18,N,6,case_0074,0,0.4769185697428316,4649.116876445014,1670.0,reject,approve,"Applicant case_0074 was reject by the profit-based decision layer. The predicted default probability is 0.477. The decision score is 4649.12, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
30,30000,RENT,14.0,MEDICAL,C,12800,14.79,0.43,Y,9,case_0075,1,0.9662474361730795,12304.069529383398,1670.0,reject,reject,"Applicant case_0075 was reject by the profit-based decision layer. The predicted default probability is 0.966. The decision score is 12304.07, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
22,58896,MORTGAGE,6.0,EDUCATION,A,9500,6.76,0.16,N,4,case_0076,0,0.11231965953879672,496.96845097438415,1670.0,approve,approve,"Applicant case_0076 was approve by the profit-based decision layer. The predicted default probability is 0.112. The decision score is 496.97, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
28,60000,MORTGAGE,6.0,EDUCATION,B,15000,11.99,0.25,N,5,case_0077,0,0.291594310031861,3099.8470170702167,1670.0,reject,approve,"Applicant case_0077 was reject by the profit-based decision layer. The predicted default probability is 0.292. The decision score is 3099.85, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
25,210000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8000,9.91,0.04,N,4,case_0078,0,0.11262051787200376,197.4496895449546,1670.0,approve,approve,"Applicant case_0078 was approve by the profit-based decision layer. The predicted default probability is 0.113. The decision score is 197.45, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
30,36000,MORTGAGE,7.0,MEDICAL,B,15000,11.83,0.42,N,5,case_0079,0,0.8674725827302843,12776.918839009155,1670.0,reject,reject,"Applicant case_0079 was reject by the profit-based decision layer. The predicted default probability is 0.867. The decision score is 12776.92, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
21,15360,RENT,0.0,DEBTCONSOLIDATION,B,1600,12.69,0.1,N,3,case_0080,0,0.48710428920808485,675.2285176137452,1670.0,approve,approve,"Applicant case_0080 was approve by the profit-based decision layer. The predicted default probability is 0.487. The decision score is 675.23, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
23,84000,MORTGAGE,0.0,PERSONAL,A,28000,8.49,0.33,N,4,case_0081,0,0.18359841724276066,3200.005840266789,1670.0,reject,approve,"Applicant case_0081 was reject by the profit-based decision layer. The predicted default probability is 0.184. The decision score is 3200.01, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
21,37200,RENT,2.0,DEBTCONSOLIDATION,B,6000,11.71,0.16,N,4,case_0082,0,0.5523432992319267,2999.536197431912,1670.0,reject,reject,"Applicant case_0082 was reject by the profit-based decision layer. The predicted default probability is 0.552. The decision score is 2999.54, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: reject."
22,53819,RENT,2.0,EDUCATION,A,6000,7.42,0.11,N,3,case_0083,0,0.1556955836909486,558.289176004902,1670.0,approve,approve,"Applicant case_0083 was approve by the profit-based decision layer. The predicted default probability is 0.156. The decision score is 558.29, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
28,42000,OWN,4.0,PERSONAL,C,8000,15.96,0.19,N,7,case_0084,0,0.14901427510440485,105.57562728854259,1670.0,approve,approve,"Applicant case_0084 was approve by the profit-based decision layer. The predicted default probability is 0.149. The decision score is 105.58, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
25,99600,MORTGAGE,1.0,HOMEIMPROVEMENT,B,12800,12.42,0.13,N,4,case_0085,0,0.20866886114136785,1412.9348312976092,1670.0,approve,approve,"Applicant case_0085 was approve by the profit-based decision layer. The predicted default probability is 0.209. The decision score is 1412.93, compared with the optimized threshold 1670.00. The default 0.5 probability rule would make decision: approve."
